# Source: mahavivo/english-wordlists CET4_edited.txt parsed from cached GitHub page.
# Fallbacks: previous generated phonetics plus six manual abbreviations/derived forms.
# Format: word<TAB>phonetic
a	/ə/
abandon	/əˈbændən/
ability	/əˈbiliti/
able	/ˈeibl/
abnormal	/æbˈnɔːməl/
aboard	/əˈbɔːd/
about	/ˈəbaut/
above	/əˈbʌv/
abroad	/əˈbrɔːd/
absence	/ˈæbsəns/
absent	/ˈæbsənt/
absolute	/ˈæbsəluːt/
absolutely	/ˈæbsəluːtli/
absorb	/əbˈsɔːb/
abstract	/ˈæbstrækt/
abundant	/əˈbʌndənt/
abuse	/əˈbjuːz/
academic	/ˌækəˈdemik/
academy	/əˈkædəmi/
accelerate	/ækˈseləreit/
acceleration	/ækˌseləˈrei∫ən/
accent	/ˈæksənt/
accept	/əkˈsept/
acceptable	/əkˈseptəbl/
acceptance	/əkˈseptəns/
access	/ˈækses/
accessory	/ækˈsesəri/
accident	/ˈæksidənt/
accidental	/ˌæksiˈdentl/
accommodate	/əˈkɔmədeit/
accommodation	/əˌkɔməˈdei∫ən/
accompany	/əˈkʌmpəni/
accomplish	/əˈkɔmpli∫/
accord	/əˈkɔːd/
accordance	/əˈkɔːdəns/
accordingly	/əˈkɔːdiŋli/
account	/əˈkaunt/
accumulate	/əˈkjuːmjuleit/
accuracy	/ˈækjurəsi/
accurate	/ˈækjurit/
accuse	/əˈkjuːz/
accustom	/əˈkʌstəm/
accustomed	/əˈkʌstəmd/
ache	/eik/
achieve	/əˈt∫iːv/
achievement	/əˈt∫iːvmənt/
acid	/ˈæsid/
acquaintance	/əˈkweintəns/
acquire	/əˈkwaiə/
acre	/ˈeikə/
across	/əˈkrɔs/
act	/ækt/
action	/ˈæk∫ən/
active	/ˈæktiv/
activity	/ækˈtiviti/
actor	/ˈæktə/
actress	/ˈæktris/
actual	/ˈæktjuəl/
actually	/ˈækt∫uəli/
acute	/əˈkjuːt/
ad	/æd/
adapt	/əˈdæpt/
add	/æd/
addition	/əˈdi∫ən/
additional	/əˈdi∫ənl/
address	/əˈdres/
adequate	/ˈædikwit/
adjective	/ˈædʒiktiv/
adjust	/əˈdʒʌst/
administration	/ədminisˈtrei∫ən/
admire	/ədˈmaiə/
admission	/ədˈmi∫ən/
admit	/ədˈmit/
adopt	/əˈdɔpt/
adult	/ˈædʌlt/
advance	/ədˈvɑːns/
advanced	/ədˈvɑːnst/
advantage	/ədˈvɑːntidʒ/
adventure	/ədˈvent∫ə/
adverb	/ˈædvəːb/
advertisement	/ədˈvəːtismənt/
advice	/ədˈvais/
advisable	/ədˈvaizəbl/
advise	/ədˈvaiz/
aeroplane	/ˈeərəplein/
affair	/əˈfeə/
affect	/əˈfekt/
affection	/əˈfek∫ən/
afford	/əˈfɔːd/
afraid	/əˈfreid/
africa	/ˈæfrikə/
african	/ˈæfrikən/
after	/ˈɑːftə/
afternoon	/ˈɑːftəˈnuːn/
afterward	/ˈɑːftəwəd/
again	/əˈgein/
against	/əˈgeinst/
age	/eidʒ/
agency	/ˈeidʒənsi/
agent	/ˈeidʒənt/
aggressive	/əˈgresiv/
ago	/əˈgəu/
agony	/ˈægəni/
agree	/əˈgriː/
agreement	/əˈgriːmənt/
agriculture	/ˈægrikʌlt∫ə/
ahead	/əˈhed/
aid	/eid/
aim	/eim/
air	/eə/
aircraft	/ˈeəkrɑːft/
airline	/ˈeəlain/
airplane	/ˈeəˌplein/
airport	/ˈeəpɔːt/
alarm	/əˈlɑːm/
alcohol	/ˈælkəhɔl/
alike	/əˈlaik/
alive	/əˈlaiv/
all	/ɔːl/
allow	/əˈlau/
alloy	/ˈælɔi/
almost	/ˈɔːlməust/
alone	/əˈləun/
along	/əˈlɔŋ/
aloud	/əˈlaud/
alphabet	/ˈælfəbit/
already	/ɔːlˈredi/
also	/ˈɔːlsəu/
alter	/ˈɔːltə/
alternative	/ɔːlˈtəːnətiv/
although	/ɔːlˈðəu/
altitude	/ˈæltitjuːd/
altogether	/ˌɔːltəˈgeðə/
aluminium	/ˌæljuːˈminjəm/
always	/ˈɔːlweiz/
a.m	/?e? ??m/
amaze	/əˈmeiz/
ambition	/æmˈbi∫ən/
ambulance	/ˈæmbjuləns/
america	/əˈmerikə/
american	/əˈmerikən/
among	/əˈmʌŋ/
amongst	/əˈmʌŋst/
amount	/əˈmaunt/
ampere	/ˈæmpiər/
amplify	/ˈæmplifai/
amuse	/əˈmjuːz/
analyse	/ˈænəlaiz/
analysis	/əˈnælisis/
ancestor	/ˈænsistə/
anchor	/ˈæŋkə/
ancient	/ˈein∫ənt/
and	/ænd/
angel	/ˈeindʒəl/
anger	/ˈæŋgə/
angle	/ˈæŋgl/
angry	/ˈæŋgri/
animal	/ˈæniməl/
ankle	/ˈæŋkl/
announce	/əˈnauns/
announcer	/əˈnaunsə/
annoy	/əˈnɔi/
annual	/ˈænjuəl/
another	/əˈnʌðə/
answer	/ˈɑːnsə/
ant	/ænt/
anticipate	/ænˈtisipeit/
anxiety	/æŋˈzaiəti/
anxious	/ˈæŋk∫əs/
any	/ˈeni/
anybody	/ˈeniˌbɔdi/
anyhow	/ˈenihau/
anyone	/ˈeniwʌn/
anything	/ˈeniθiŋ/
anyway	/ˈeniwei/
anywhere	/ˈeniweə/
apart	/əˈpɑːt/
apartment	/əˈpɑːtmənt/
apologize	/əˈpɔlədʒaiz/
apology	/əˈpɔlədʒi/
apparatus	/ˌæpəˈreitəs/
apparent	/əˈpærənt/
appeal	/əˈpiːl/
appear	/əˈpiə/
appearance	/əˈpiərəns/
appetite	/ˈæpitait/
apple	/ˈæpl/
appliance	/əˈplaiəns/
applicable	/ˈæplikəbl/
application	/ˌæpliˈkei∫ən/
apply	/əˈplai/
appoint	/əˈpɔint/
appointment	/əˈpɔintmənt/
appreciate	/əˈpriː∫ieit/
approach	/əˈprəut∫/
appropriate	/əˈprəupriit/
approval	/əˈpruːvəl/
approve	/əˈpruːv/
approximate	/əˈprɔksimeit/
approximately	/əprɔksiˈmətli/
april	/ˈeiprəl/
arabian	/əˈreibjən/
arbitrary	/ˈɑːbitrəri/
architecture	/ˈɑːkitekt∫ə/
area	/ˈeəriə/
argue	/ˈɑːgjuː/
argument	/ˈɑːgjumənt/
arise	/əˈraiz/
arithmetic	/əˈriθmətik/
arm	/ɑːm/
army	/ˈɑːmi/
around	/əˈraund/
arouse	/əˈrauz/
arrange	/əˈreindʒ/
arrangement	/əˈreindʒmənt/
arrest	/əˈrest/
arrival	/əˈraivəl/
arrive	/əˈraiv/
arrow	/ˈærəu/
art	/ɑːt/
article	/ˈɑːtikl/
artificial	/ˌɑːtiˈfi∫əl/
artist	/ˈɑːtist/
artistic	/ɑːˈtistik/
as	/æz/
ash	/æ∫/
ashamed	/əˈ∫eimd/
asia	/ˈei∫ə/
asian	/ˈei∫ən/
aside	/əˈsaid/
ask	/ɑːsk/
asleep	/əˈsliːp/
aspect	/ˈæspekt/
assemble	/əˈsembl/
assembly	/əˈsembli/
assess	/əˈses/
assign	/əˈsain/
assignment	/əˈsainmənt/
assist	/əˈsist/
assistant	/əˈsistənt/
associate	/əˈsəu∫ieit/
association	/əˌsəusiˈei∫ən/
assume	/əˈsjuːm/
assure	/əˈ∫uə/
astonish	/əsˈtɔni∫/
astronaut	/ˈæstrənɔːt/
at	/æt/
athlete	/ˈæθliːt/
atlantic	/ətˈlæntik/
atmosphere	/ˈætməsfiə/
atmospheric	/ˌætməsˈferik/
atom	/ˈætəm/
atomic	/əˈtɔmik/
attach	/əˈtæt∫/
attack	/əˈtæk/
attain	/əˈtein/
attempt	/əˈtempt/
attend	/əˈtend/
attention	/əˈten∫ən/
attentive	/əˈtentiv/
attitude	/ˈætitjuːd/
attract	/əˈtrækt/
attraction	/əˈtræk∫ən/
attractive	/əˈtræktiv/
attribute	/əˈtribju(ː)t/
audience	/ˈɔːdjəns/
august	/ˈɔːgəst/
aunt	/ɑːnt/
aural	/ˈɔːrəl/
australia	/ɔsˈtreiljə/
australian	/ɔsˈtreiliən/
author	/ˈɔːθə/
authority	/ɔːˈθɔriti/
auto	/ˈɔːtəu/
automatic	/ˌɔːtəˈmætik/
automation	/ɔːtəˈmei∫ən/
automobile	/ˌɔːtəˈməubil/
autumn	/ˈɔːtəm/
auxiliary	/ɔːgˈziljəri/
available	/əˈveiləbl/
avenue	/ˈævinjuː/
average	/ˈævəridʒ/
aviation	/ˌeiviˈei∫ən/
avoid	/əˈvɔid/
await	/əˈweit/
awake	/əˈweik/
award	/əˈwɔːd/
aware	/əˈweə/
away	/əˈwei/
awful	/ˈɔːful/
awfully	/ˈɔːfuli/
awkward	/ˈɔːkwəd/
ax	/æks/
axis	/ˈæksis/
baby	/ˈbeibi/
back	/bæk/
background	/ˈbækgraund/
backward	/ˈbækwəd/
bacteria	/bækˈtiəriə/
bad	/bæd/
badly	/ˈbædli/
badminton	/ˈbædmintən/
bag	/bæg/
baggage	/ˈbægidʒ/
bake	/beik/
balance	/ˈbæləns/
ball	/bɔːl/
balloon	/bəˈluːn/
banana	/bəˈnɑːnə/
band	/bænd/
bang	/bæŋ/
bank	/bæŋk/
banner	/ˈbænə/
bar	/bɑː(r)/
barber	/ˈbɑːbə/
bare	/beə/
bargain	/ˈbɑːgin/
bark	/bɑːk/
barn	/bɑːn/
barrel	/ˈbærəl/
barrier	/ˈbæriə/
base	/beis/
basic	/ˈbeisik/
basically	/ˈbeisikəli/
basin	/ˈbeisn/
basis	/ˈbeisis/
basket	/bɑːskit/
basketball	/ˈbɑːskitbɔːl/
bat	/bæt/
bath	/bɑːθ/
bathe	/beið/
bathroom	/ˈbɑːθruːm/
battery	/ˈbætəri/
battle	/ˈbætl/
bay	/bei/
B.C.	/?bi? ?si?/
be	/biː/
beach	/biːt∫/
beam	/biːm/
bean	/biːn/
bear	/beə/
beard	/biəd/
beast	/biːst/
beat	/biːt/
beautiful	/ˈbjuːtəful/
beauty	/ˈbjuːti/
because	/biˈkɔz/
become	/biˈkʌm/
bed	/bed/
bee	/biː/
beef	/biːf/
beer	/biə/
before	/biˈfɔː/
beg	/beg/
beggar	/ˈbegə/
begin	/biˈgin/
beginner	/biˈginə/
beginning	/biˈginiŋ/
behalf	/biˈhɑːf/
behave	/biˈheiv/
behavior	/biˈheivjə/
behind	/biˈhaind/
being	/ˈbiːiŋ/
belief	/biˈliːf/
believe	/biˈliːv/
bell	/bel/
belong	/biˈlɔŋ/
beloved	/biˈlʌvid/
below	/biˈləu/
belt	/belt/
bench	/bent∫/
bend	/bend/
beneath	/biˈniːθ/
beneficial	/beniˈfi∫əl/
benefit	/ˈbenifit/
berry	/ˈberi/
beside	/biˈsaid/
besides	/biˈsaidz/
best	/best/
bet	/bet/
betray	/biˈtrei/
better	/ˈbetə/
between	/biˈtwiːn/
beyond	/biˈjɔnd/
Bible	/ˈbaibl/
bicycle	/ˈbaisikl/
big	/big/
bike	/baik/
bill	/bil/
billion	/ˈbiljən/
bind	/baind/
biology	/baiˈɔlədʒi/
bird	/bəːd/
birth	/bəːθ/
birthday	/ˈbəːθdei/
biscuit	/ˈbiskit/
bit	/bit/
bite	/bait/
bitter	/ˈbitə/
bitterly	/ˈbitəli/
black	/blæk/
blackboard	/ˈblækbɔːd/
blade	/bleid/
blame	/bleim/
blank	/blæŋk/
blanket	/ˈblæŋkit/
blast	/blɑːst/
blaze	/bleiz/
bleed	/bliːd/
blend	/blend/
bless	/bles/
blind	/blaind/
block	/blɔk/
blood	/blʌd/
bloom	/bluːm/
blossom	/ˈblɔsəm/
blow	/bləu/
blue	/bluː/
board	/bɔːd/
boast	/bəust/
boat	/bəut/
body	/ˈbɔdi/
boil	/bɔil/
bold	/bəuld/
bolt	/bəult/
bomb	/bɔm/
bond	/bɔnd/
bone	/bəun/
book	/buk/
boot	/buːt/
booth	/buːθ/
border	/ˈbɔːdə/
bore	/bɔː/
born	/bɔːn/
borrow	/ˈbɔrəu/
bosom	/ˈbuzəm/
boss	/bɔs/
both	/bəuθ/
bother	/ˈbɔðə/
bottle	/ˈbɔtl/
bottom	/ˈbɔtəm/
bough	/bau/
bounce	/bauns/
bound	/baund/
boundary	/ˈbaundəri/
bow	/bau/
bowl	/bəul/
box	/bɔks/
boy	/bɔi/
brain	/brein/
brake	/breik/
branch	/brɑːnt∫/
brand	/brænd/
brandy	/ˈbrændi/
brass	/brɑːs/
brave	/breiv/
bread	/bred/
breadth	/bredθ/
break	/breik/
breakfast	/ˈbrekfəst/
breast	/brest/
breath	/breθ/
breathe	/briːð/
breed	/briːd/
breeze	/briːz/
brick	/brik/
bridge	/bridʒ/
brief	/briːf/
bright	/brait/
brighten	/ˈbraitn/
brilliant	/ˈbriljənt/
brim	/brim/
bring	/briŋ/
brisk	/brisk/
bristle	/ˈbrisl/
Britain	/ˈbritən/
British	/ˈbriti∫/
brittle	/ˈbritl/
broad	/brɔːd/
broadcast	/ˈbrɔːdkɑːst/
broken	/ˈbrəukən/
bronze	/brɔnz/
brood	/bruːd/
brook	/bruk/
broom	/bruːm/
brother	/ˈbrʌðə/
brow	/brau/
brown	/braun/
bruise	/bruːz/
brush	/brʌ∫/
brute	/bruːt/
bubble	/ˈbʌbl/
bucket	/ˈbʌkit/
bud	/bʌd/
build	/bild/
building	/ˈbildiŋ/
bulb	/bʌlb/
bulk	/bʌlk/
bull	/bul/
bullet	/ˈbulit/
bunch	/bʌnt∫/
bundle	/ˈbʌndl/
burden	/ˈbəːdn/
bureau	/bjuəˈrəu/
burn	/bəːn/
burst	/bəːst/
bury	/ˈberi/
bus	/bʌs/
bush	/bu∫/
business	/ˈbiznis/
busy	/ˈbizi/
but	/bʌt/
butcher	/ˈbut∫ə/
butter	/ˈbʌtə/
butterfly	/ˈbʌtəflai/
button	/ˈbʌtn/
buy	/bai/
by	/bai/
cabbage	/ˈkæbidʒ/
cabin	/ˈkæbin/
cabinet	/ˈkæbinit/
cable	/ˈkeibl/
cafe	/ˈkæfei/
cafeteria	/ˈkæfiˈtiəriə/
cage	/keidʒ/
cake	/keik/
calculate	/ˈkælkjuleit/
calculation	/ˌkælkjuˈlei∫ən/
calculator	/ˈkælkjuleitə/
calendar	/ˈkælində/
call	/kɔːl/
calm	/kɑːm/
camel	/ˈkæməl/
camera	/ˈkæmərə/
camp	/kæmp/
campaign	/kæmˈpein/
campus	/ˈkæmpəs/
can	/kæn/
Canada	/ˈkænədə/
Canadian	/kəˈneidjən/
canal	/kəˈnæl/
cancel	/ˈkænsəl/
cancer	/ˈkænsə/
candidate	/ˈkændidit/
candle	/ˈkændl/
candy	/ˈkændi/
cannon	/ˈkænən/
canoe	/kəˈnuː/
canteen	/kænˈtiːn/
canvas	/ˈkænvəs/
cap	/kæp/
capable	/ˈkeipəbl/
capacity	/kəˈpæsiti/
capital	/ˈkæpitəl/
captain	/ˈkæptin/
captive	/ˈkæptiv/
capture	/ˈkæpt∫ə/
car	/kɑː/
carbon	/ˈkɑːbən/
card	/kɑːd/
care	/keə/
career	/kəˈriə/
careful	/ˈkeəful/
careless	/ˈkeəlis/
cargo	/ˈkɑːgəu/
carpenter	/ˈkɑːpintə/
carpet	/ˈkɑːpit/
carriage	/ˈkæridʒ/
carrier	/ˈkæriə/
carrot	/ˈkærət/
carry	/ˈkæri/
cart	/kɑːt/
carve	/kɑːv/
case	/keis/
cash	/kæ∫/
cassette	/kɑːˈset/
cast	/kɑːst/
castle	/ˈkæsl/
casual	/ˈkæʒuəl/
cat	/kæt/
catalog	/ˈkætəlɔg/
catch	/kæt∫/
cathedral	/kəˈθiːdrəl/
cattle	/ˈkætl/
cause	/kɔːz/
cave	/keiv/
cease	/siːs/
ceiling	/ˈsiːliŋ/
celebrate	/ˈselibreit/
cell	/sel/
cellar	/ˈselə/
cement	/siˈment/
cent	/sent/
centigrade	/ˈsentigreid/
centimetre	/ˈsentiˌmiːtə/
central	/ˈsentr(ə)l/
centre	/ˈsentə/
century	/ˈsent∫uri/
ceremony	/ˈseriməni/
certain	/ˈsəːtən/
certainly	/ˈsəːtənli/
certainty	/ˈsəːtənti/
certificate	/səˈtifikit/
chain	/t∫ein/
chair	/t∫eə/
chairman	/ˈt∫eəmən/
chalk	/t∫ɔːk/
challenge	/ˈt∫ælindʒ/
chamber	/ˈt∫eimbə/
champion	/ˈt∫æmpjən/
chance	/t∫ɑːns/
change	/t∫eindʒ/
channel	/ˈt∫ænl/
chapter	/ˈt∫æptə/
character	/ˈkæriktə/
characteristic	/ˌkæriktəˈristik/
charge	/t∫ɑːdʒ/
charity	/ˈt∫æriti/
charming	/ˈt∫ɑːmiŋ/
chart	/t∫ɑːt/
chase	/t∫eis/
cheap	/t∫iːp/
cheat	/t∫iːt/
check	/t∫ek/
cheek	/t∫iːk/
cheer	/t∫iə/
cheerful	/ˈt∫iəful/
cheese	/t∫iːz/
chemical	/ˈkemikəl/
chemist	/ˈkemist/
chemistry	/ˈkemistri/
cheque	/t∫ek/
cherry	/ˈt∫eri/
chess	/t∫es/
chest	/t∫est/
chew	/t∫uː/
chicken	/ˈt∫ikin/
chief	/t∫iːf/
child	/t∫aild/
childhood	/ˈt∫aildhud/
childish	/ˈt∫aildi∫/
chill	/t∫il/
chimney	/ˈt∫imni/
chin	/t∫in/
China	/ˈt∫ainə/
Chinese	/ˈt∫aiˈniːz/
chocolate	/ˈt∫ɔkəlit/
choice	/t∫ɔis/
choke	/t∫əuk/
choose	/t∫uːz/
chop	/t∫ɔp/
Christian	/ˈkristjən/
Christmas	/ˈkrisməs/
church	/t∫əːt∫/
cigarette	/sigəˈret/
cinema	/ˈsinimə/
circle	/ˈsəːkl/
circuit	/ˈsəːkit/
circular	/ˈsəːkjulə/
circulate	/ˈsəːkjuleit/
circumference	/səˈkʌmfərəns/
circumstance	/ˈsəːkəmstəns/
citizen	/ˈsitizn/
city	/ˈsiti/
civil	/ˈsivl/
civilization	/sivəliˈzei∫ən/
civilize	/ˈsivilaiz/
claim	/kleim/
clap	/klæp/
clarify	/ˈklærifai/
clasp	/klɑːsp/
class	/klɑːs/
classical	/ˈklæsikəl/
classification	/ˌklæsifiˈkei∫ən/
classify	/ˈklæsifai/
classmate	/ˈklɑːsmeit/
classroom	/ˈklɑːsrum/
claw	/klɔː/
clay	/klei/
clean	/kliːn/
clear	/kliə/
clearly	/ˈkliəli/
clerk	/klərk/
clever	/ˈklevə/
cliff	/klif/
climate	/ˈklaimit/
climb	/klaim/
cloak	/kləuk/
clock	/klɔk/
close	/kləuz/
closely	/ˈkləuzli/
cloth	/klɔ(ː)θ/
clothe	/kləuð/
clothes	/kləuðz/
clothing	/ˈkləuðiŋ/
cloud	/klaud/
cloudy	/ˈklaudi/
club	/klʌb/
clue	/kluː/
clumsy	/ˈklʌmzi/
coach	/kəut∫/
coal	/kəul/
coarse	/kɔːs/
coast	/kəust/
coat	/kəut/
cock	/kɔk/
code	/kəud/
coffee	/ˈkɔfi/
coil	/kɔil/
coin	/kɔin/
